"business_id","rating","RestaurantsPriceRange2","business.parking","BikeParking","NoiseLevel","RestaurantsGoodForGroups","RestaurantsDelivery","HasTV","WiFi","RestaurantsTakeOut","RestaurantsReservations","RestaurantsTableService"
"--6MefnULPED_I942VcFNA",3.47058823529412,2,1,FALSE,"quiet",TRUE,FALSE,FALSE,"no",TRUE,TRUE,TRUE
"--cZ6Hhc9F7VkKXxHMVZSQ",4,2,1,TRUE,"average",TRUE,TRUE,TRUE,"no",TRUE,TRUE,TRUE
"--ujyvoQlwVoBgMYtADiLA",5,2,1,FALSE,"average",TRUE,FALSE,TRUE,"free",TRUE,FALSE,TRUE
"-_DxZ8gKU50sfuZEu4ypKg",3,2,0,TRUE,"average",TRUE,FALSE,FALSE,"no",TRUE,TRUE,TRUE
"-092wE7j5HZOogMLAh40zA",3.26470588235294,1,1,FALSE,"quiet",TRUE,TRUE,TRUE,"no",TRUE,FALSE,TRUE
"-1xuC540Nycht_iWFeJ-dw",4.5,1,1,TRUE,"average",FALSE,FALSE,FALSE,"no",TRUE,FALSE,FALSE
"-25X5v1q3WU6s-craJSvTw",3.54545454545455,1,0,NA,"quiet",FALSE,TRUE,FALSE,"no",TRUE,FALSE,TRUE
"-2A9emZwBK8zYHPnAmM0hw",3.4,1,1,NA,"average",TRUE,TRUE,TRUE,"free",TRUE,TRUE,TRUE
"-2lSbNMhXKYu7URjEE59qA",3,1,0,TRUE,"quiet",TRUE,FALSE,TRUE,NA,TRUE,TRUE,TRUE
"-2v6N3EZAE4VDkAf7q3CrA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-33_OPx1aKM22qxioPgJ_Q",3.75,2,0,NA,"quiet",FALSE,FALSE,FALSE,"no",TRUE,FALSE,FALSE
"-3zffZUHoY8bQjGfPSoBKQ",3.33333333333333,4,1,FALSE,"average",TRUE,FALSE,FALSE,"free",FALSE,TRUE,TRUE
"-56TP_w4VG2oNGpauDMOOQ",3,1,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
"-82Z0wTA-nOCLUVD4XXIBA",1,2,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
"-8R_-EkGpUhBk55K9Dd4mg",2.5,1,1,TRUE,"average",FALSE,TRUE,TRUE,"no",TRUE,FALSE,TRUE
"-9dmhyBvepc08KPEHlEM0w",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-9u2uFwhlj3Yq4mG5IweoA",2.8,2,1,TRUE,"average",FALSE,TRUE,FALSE,"no",TRUE,TRUE,TRUE
"-9YyInW1wapzdNZrhQJ9dg",1.91666666666667,2,1,FALSE,"average",TRUE,FALSE,FALSE,"no",FALSE,FALSE,TRUE
"-a_MCAVRmpw4t16gPeNGHw",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-A9sm-E6uQxWTJ_MuyOzFw",2,2,1,NA,NA,TRUE,FALSE,NA,NA,TRUE,TRUE,TRUE
"-aGDIa9q_1alWtiLIlpjxw",5,1,0,FALSE,"quiet",FALSE,FALSE,FALSE,"no",TRUE,FALSE,FALSE
"-As1YcTVebShW012Q2XGDw",3.5,2,NA,TRUE,"quiet",TRUE,NA,TRUE,NA,NA,TRUE,NA
"-BbnAc9YEO6pjvJGEtFbVQ",4,2,1,TRUE,"average",FALSE,FALSE,FALSE,"no",TRUE,FALSE,TRUE
"-BmqghX1sv7sgsxOIS2yAg",4,1,1,FALSE,"average",TRUE,FALSE,TRUE,"no",TRUE,FALSE,TRUE
"-bUrt9bLTqqbevqmtE_ktg",5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-c_MUp1XdJnC8LofTEPLTA",5,1,0,NA,NA,TRUE,FALSE,NA,NA,TRUE,FALSE,FALSE
"-C8sSrFqaCxp51pyo-fQLQ",4.66666666666667,1,1,TRUE,"quiet",FALSE,TRUE,TRUE,"no",TRUE,FALSE,TRUE
"-cnAmACYQpwRyfjuZHay3w",2.66666666666667,1,1,FALSE,"quiet",TRUE,FALSE,FALSE,NA,TRUE,FALSE,TRUE
"-cuzw1pcZ_UcdA4Qxc5YYg",4,1,0,TRUE,"average",TRUE,FALSE,FALSE,"no",TRUE,FALSE,TRUE
"-cYOKJ5kbVZqzSYQIzZcqA",2,2,NA,NA,"quiet",FALSE,TRUE,FALSE,"free",TRUE,FALSE,NA
"-DDQoNUvrGe8d75OvCDRpQ",1,2,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"-De4AV1Fx67mDMGrFOw44Q",4,2,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
"-dFfucHmOtgDmDneps-mgA",1,3,1,TRUE,"average",TRUE,FALSE,TRUE,"free",TRUE,TRUE,TRUE
"-DnaKAs2oK3rXfrjSvn9ew",3.6,1,0,TRUE,"quiet",TRUE,FALSE,FALSE,"no",TRUE,FALSE,FALSE
"-DtaPJJ-beogNkDKusGhlA",3,2,1,NA,"average",TRUE,FALSE,FALSE,"free",TRUE,TRUE,TRUE
"-ed0Yc9on37RoIoG2ZgxBA",2.6,2,1,TRUE,"average",TRUE,FALSE,TRUE,"no",TRUE,FALSE,TRUE
"-EKDN1BbaPQD4FTPD9YNCw",1,1,0,TRUE,NA,NA,NA,NA,"free",TRUE,NA,NA
"-euyrrUnAQpVNmiwRO1ESQ",5,2,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
"-FcZY7a7qgxTUlTvwuyJnQ",3.33333333333333,2,1,TRUE,"average",TRUE,FALSE,FALSE,"free",TRUE,FALSE,TRUE
"-FLnsWAa4AGEW4NgE8Fqew",2,2,1,TRUE,"average",TRUE,FALSE,TRUE,NA,TRUE,FALSE,TRUE
"-FlrlELIGmCqdt_JxbdFgg",2,1,0,TRUE,"average",TRUE,FALSE,FALSE,NA,TRUE,FALSE,FALSE
"-Gxe5gKrskrgbWyLkz7UGQ",3.29032258064516,2,1,TRUE,"loud",TRUE,FALSE,FALSE,"no",TRUE,TRUE,TRUE
"-H1-IzxW6CXmjhmF5F6iMA",3.25,1,0,TRUE,"quiet",TRUE,TRUE,FALSE,"no",TRUE,FALSE,TRUE
"-hec2e0Kj9yIVfOQKoFG6Q",2.6,2,1,TRUE,"quiet",TRUE,TRUE,FALSE,"no",TRUE,NA,TRUE
"-hq09PjRpGcx4XXhrqh5xw",3.57142857142857,2,1,TRUE,"average",TRUE,FALSE,TRUE,"no",TRUE,TRUE,TRUE
"-HsqnPAz374YSoyFDyjl3A",5,2,1,TRUE,"average",TRUE,TRUE,FALSE,"no",TRUE,FALSE,TRUE
"-I7Vz5eDjc63xKmmt4Qx4g",2.42857142857143,2,1,TRUE,"average",TRUE,FALSE,FALSE,"free",TRUE,TRUE,TRUE
