word,n
janpanese,259
rice,182
fish,182
cuisine,174
bowl,169
sushi,157
sashimi,154
served,141
even,135
fresh,134
domburi,131
seafood,127
topped,127
beautiful,124
delicate,112
sauce,99
raw,95
made,95
popular,91
role,90
maki,88
now,84
platter,84
include,83
flavors,81
simple,80
tempura,79
dozen,76
pungent,76
arranged,74
exotic,72
skewer,72
words,71
healthiest,70
dish,70
thin,68
chicken,68
curry,68
events,64
meat,64
different,62
larger,61
complement,61
grill,60
yakitori,59
bar,58
vegetables,57
western,57
best,56
FLAVOR,56
table,55
dinner,54
tasty,54
roll,53
times,53
experience,52
meal,52
vegas,52
day,50
duck,50
fish,50
authentic,49
cheap,49
korean,49
items,48
portions,48
crab,45
staff,45
eating,44
tea,44
water,44
china,43
served,43
stars,43
super,43
wait,43
fast,42
busy,41
decent,41
worth,41
found,40
minutes,40
recommend,40
delivery,39
family,39
feel,39
friends,39
tasted,39
clean,38
huge,38
inside,38
special,38
crispy,36
home,36
star,36
thai,36
visit,36
cooked,35
enjoy,35
green,35
options,35
tofu,35
house,34
orange,34
top,34
lamb,33
mein,33
called,32
chow,32
disappointed,32
friend,32
real,32
reviews,32
salad,32
style,32
half,31
quick,31
seafood,31
cold,30
cream,30
decided,30
dessert,30
main,30
pay,30
serve,30
amount,29
black,29
hard,29
dining,28
dumpling,28
excellent,28
expect,28
portion,28
waitress,28
average,27
coming,27
cuisine,27
japanese,27
plate,27
review,27
selection,27
sesame,27
steamed,27
tender,27
town,27
variety,27
american,26
bean,26
brought,26
free,26
hand,26
red,26
station,26
stir,26
stuff,26
check,25
finally,25
fun,25
garlic,25
happy,25
line,25
looked,25
person,25
salty,25
similar,25
specials,25
spot,25
vegetables,25
awesome,24
bland,24
buns,24
decor,24
greasy,24
kitchen,24
left,24
located,24
makes,24
mongolian,24
owner,24
prepared,24
size,24
soy,24
tables,24
told,24
veggies,24
close,23
couple,23
drinks,23
location,23
soft,23
strip,23
type,23
yelp,23
ate,22
bbq,22
bite,22
business,22
care,22
deep,22
extra,22
fan,22
ice,22
lots,22
offer,22
priced,22
rest,22
spring,22
start,22
texture,22
white,22
bowl,21
broccoli,21
chili,21
drink,21
entrees,21
reasonable,21
regular,21
street,21
takeout,21
tip,21
traditional,21
atmosphere,20
broth,20
hotel,20
late,20
perfect,20
pieces,20
set,20
standard,20
stop,20
typical,20
ago,19
curry,19
cut,19
dry,19
enjoyed,19
extremely,19
fine,19
fries,19
front,19
guy,19
hungry,19
impressed,19
parking,19
potato,19
ready,19
simple,19
vegetable,19
wonton,19
wontons,19
wrong,19
appetizers,18
bread,18
cheese,18
desserts,18
eaten,18
english,18
expensive,18
express,18
flavour,18
mind,18
mix,18
pepper,18
plenty,18
ribs,18
servers,18
spice,18
waiting,18
wife,18
arrived,17
attentive,17
bring,17
change,17
chef,17
customer,17
customers,17
fairly,17
flavors,17
fry,17
ginger,17
highly,17
hour,17
lobster,17
money,17
onion,17
option,17
pan,17
serving,17
short,17
wall,17
appetizer,16
bun,16
choices,16
choose,16
filling,16
flavorful,16
heavy,16
husband,16
light,16
mixed,16
phoenix,16
plates,16
pulled,16
raw,16
run,16
server,16
sit,16
store,16
tasting,16
thick,16
worst,16
buffets,15
call,15
choice,15
completely,15
congee,15
craving,15
door,15
due,15
filled,15
frozen,15
legs,15
lo,15
local,15
low,15
mandarin,15
pot,15
return,15
speak,15
tastes,15
toronto,15
trip,15
wok,15
absolutely,14
add,14
bill,14
chewy,14
chinatown,14
corn,14
counter,14
don,14
entree,14
expected,14
guess,14
included,14
including,14
indian,14
interior,14
leave,14
limited,14
mai,14
mall,14
mexican,14
offered,14
onions,14
owners,14
paid,14
pick,14
pm,14
ramen,14
remember,14
salt,14
seated,14
shop,14
simply,14
slightly,14
soups,14
taro,14
understand,14
walk,14
walked,14
warm,14
actual,13
balls,13
cantonese,13
closed,13
cool,13
days,13
dragon,13
fruit,13
fusion,13
generous,13
grill,13
honestly,13
hours,13
king,13
la,13
manager,13
meals,13
note,13
oil,13
packed,13
pad,13
seasoned,13
spices,13
sunday,13
tomato,13
vegetarian,13
veggie,13
weird,13
wings,13
yum,13
added,12
ambiance,12
beat,12
beer,12
bone,12
buy,12
casino,12
chocolate,12
city,12
cooking,12
dried,12
drop,12
empty,12
entire,12
evening,12
feet,12
floor,12
gem,12
item,12
joint,12
kung,12
las,12
lee,12
level,12
list,12
lol,12
mango,12
offers,12
piece,12
rare,12
read,12
recently,12
sat,12
stand,12
started,12
surprised,12
tacos,12
week,12
yummy,12
basically,11
beans,11
beautiful,11
compared,11
consistent,11
cost,11
courses,11
cup,11
deal,11
dimsum,11
disappointing,11
eggs,11
fancy,11
fat,11
forgot,11
hakka,11
heard,11
hit,11
honey,11
ingredients,11
kids,11
milk,11
modern,11
mood,11
nearby,11
overly,11
past,11
perfectly,11
pizza,11
prefer,11
quickly,11
reason,11
roast,11
sashimi,11
share,11
smell,11
spend,11
stay,11
steam,11
sticky,11
taking,11
tin,11
tough,11
TRUE,11
unique,11
usual,11
waiter,11
weekend,11
wine,11
affordable,10
balance,10
base,10
based,10
boba,10
brisket,10
brown,10
cabbage,10
ceremony,10
chairs,10
charge,10
charlotte,10
combination,10
combo,10
cook,10
court,10
crazy,10
dan,10
eggplant,10
expectations,10
familiar,10
fatty,10
freshly,10
glass,10
hate,10
